"dataset" "group"
"162" "TCGA-55-A494" "training"
"163" "TCGA-55-A4DF" "training"
"164" "TCGA-55-A4DG" "training"
"165" "TCGA-55-A57B" "training"
"166" "TCGA-62-8394" "training"
"167" "TCGA-62-8395" "training"
"168" "TCGA-62-8397" "training"
"169" "TCGA-62-8398" "training"
"170" "TCGA-62-8399" "training"
"171" "TCGA-62-8402" "training"
"172" "TCGA-62-A46O" "training"
"173" "TCGA-62-A46P" "training"
"174" "TCGA-62-A46R" "training"
"175" "TCGA-62-A46S" "training"
"176" "TCGA-62-A46U" "training"
"177" "TCGA-62-A46V" "training"
"178" "TCGA-62-A46Y" "training"
"179" "TCGA-62-A470" "training"
"180" "TCGA-62-A471" "training"
"181" "TCGA-64-1681" "training"
"182" "TCGA-64-5775" "training"
"183" "TCGA-64-5778" "training"
"184" "TCGA-64-5781" "training"
"185" "TCGA-64-5815" "training"
"186" "TCGA-67-6215" "training"
"187" "TCGA-67-6216" "training"
"188" "TCGA-69-7760" "training"
"189" "TCGA-69-7761" "training"
"190" "TCGA-69-7763" "training"
"191" "TCGA-69-7764" "training"
"192" "TCGA-69-7973" "training"
"193" "TCGA-69-7978" "training"
"194" "TCGA-69-7980" "training"
"195" "TCGA-69-8253" "training"
"196" "TCGA-69-8254" "training"
"197" "TCGA-69-8255" "training"
"198" "TCGA-69-8453" "training"
"199" "TCGA-69-A59K" "training"
"200" "TCGA-73-4676" "training"
"201" "TCGA-73-7499" "training"
"202" "TCGA-73-A9RS" "training"
"203" "TCGA-75-5125" "training"
"204" "TCGA-75-5146" "training"
"205" "TCGA-75-5147" "training"
"206" "TCGA-75-6206" "training"
"207" "TCGA-75-6212" "training"
"208" "TCGA-75-7025" "training"
"209" "TCGA-75-7027" "training"
"210" "TCGA-78-7143" "training"
"211" "TCGA-78-7145" "training"
"212" "TCGA-78-7146" "training"
"213" "TCGA-78-7147" "training"
"214" "TCGA-78-7148" "training"
"215" "TCGA-78-7152" "training"
"216" "TCGA-78-7153" "training"
"217" "TCGA-78-7154" "training"
"218" "TCGA-78-7155" "training"
"219" "TCGA-78-7156" "training"
"220" "TCGA-78-7158" "training"
"221" "TCGA-78-7159" "training"
"222" "TCGA-78-7160" "training"
"223" "TCGA-78-7161" "training"
"224" "TCGA-78-7162" "training"
"225" "TCGA-78-7163" "training"
"226" "TCGA-78-7167" "training"
"227" "TCGA-78-7220" "training"
"228" "TCGA-78-7535" "training"
"229" "TCGA-78-7536" "training"
"230" "TCGA-78-7537" "training"
"231" "TCGA-78-7542" "training"
"232" "TCGA-78-7633" "training"
"233" "TCGA-78-8640" "training"
"234" "TCGA-78-8648" "training"
"235" "TCGA-78-8655" "training"
"236" "TCGA-78-8660" "training"
"237" "TCGA-78-8662" "training"
"238" "TCGA-80-5608" "training"
"239" "TCGA-80-5611" "training"
"240" "TCGA-83-5908" "training"
"241" "TCGA-86-6562" "training"
"242" "TCGA-86-6851" "training"
"243" "TCGA-86-7701" "training"
"244" "TCGA-86-7711" "training"
"245" "TCGA-86-7713" "training"
"246" "TCGA-86-7714" "training"
"247" "TCGA-86-7953" "training"
"248" "TCGA-86-7954" "training"
"249" "TCGA-86-8054" "training"
"250" "TCGA-86-8055" "training"
"251" "TCGA-86-8073" "training"
"252" "TCGA-86-8075" "training"
"253" "TCGA-86-8076" "training"
"254" "TCGA-86-8278" "training"
"255" "TCGA-86-8280" "training"
"256" "TCGA-86-8281" "training"
"257" "TCGA-86-8358" "training"
"258" "TCGA-86-8359" "training"
"259" "TCGA-86-8668" "training"
"260" "TCGA-86-8669" "training"
"261" "TCGA-86-8671" "training"
"262" "TCGA-86-8672" "training"
"263" "TCGA-86-8673" "training"
"264" "TCGA-86-8674" "training"
"265" "TCGA-86-A4D0" "training"
"266" "TCGA-86-A4JF" "training"
"267" "TCGA-86-A4P7" "training"
"268" "TCGA-86-A4P8" "training"
"269" "TCGA-91-6828" "training"
"270" "TCGA-91-6835" "training"
"271" "TCGA-91-6836" "training"
"272" "TCGA-91-6840" "training"
"273" "TCGA-91-6847" "training"
"274" "TCGA-91-6848" "training"
"275" "TCGA-91-6849" "training"
"276" "TCGA-91-7771" "training"
"277" "TCGA-91-8496" "training"
"278" "TCGA-91-8499" "training"
"279" "TCGA-91-A4BC" "training"
"280" "TCGA-91-A4BD" "training"
"281" "TCGA-93-7347" "training"
"282" "TCGA-93-A4JN" "training"
"283" "TCGA-93-A4JO" "training"
"284" "TCGA-93-A4JP" "training"
"285" "TCGA-93-A4JQ" "training"
"286" "TCGA-95-7039" "training"
"287" "TCGA-95-7043" "training"
"288" "TCGA-95-7562" "training"
"289" "TCGA-95-7944" "training"
"290" "TCGA-95-7948" "training"
"291" "TCGA-95-8039" "training"
"292" "TCGA-95-8494" "training"
"293" "TCGA-95-A4VK" "training"
"294" "TCGA-95-A4VN" "training"
"295" "TCGA-95-A4VP" "training"
"296" "TCGA-97-7546" "training"
"297" "TCGA-97-7547" "training"
"298" "TCGA-97-7552" "training"
"299" "TCGA-97-7553" "training"
"300" "TCGA-97-7554" "training"
"301" "TCGA-97-7937" "training"
"302" "TCGA-97-8171" "training"
"303" "TCGA-97-8172" "training"
"304" "TCGA-97-8175" "training"
"305" "TCGA-97-8177" "training"
"306" "TCGA-97-8179" "training"
"307" "TCGA-97-8547" "training"
"308" "TCGA-97-8552" "training"
"309" "TCGA-97-A4LX" "training"
"310" "TCGA-97-A4M0" "training"
"311" "TCGA-97-A4M1" "training"
"312" "TCGA-97-A4M2" "training"
"313" "TCGA-97-A4M3" "training"
"314" "TCGA-97-A4M6" "training"
"315" "TCGA-97-A4M7" "training"
"316" "TCGA-99-7458" "training"
"317" "TCGA-99-8028" "training"
"318" "TCGA-99-8032" "training"
"319" "TCGA-99-8033" "training"
"320" "TCGA-99-AA5R" "training"
"321" "TCGA-J2-8192" "training"
"322" "TCGA-J2-8194" "training"
"323" "TCGA-J2-A4AD" "training"
"324" "TCGA-J2-A4AE" "training"
"325" "TCGA-J2-A4AG" "training"
"326" "TCGA-L4-A4E5" "training"
"327" "TCGA-L9-A443" "training"
"328" "TCGA-L9-A444" "training"
"329" "TCGA-L9-A50W" "training"
"330" "TCGA-L9-A7SV" "training"
"331" "TCGA-L9-A8F4" "training"
"332" "TCGA-MN-A4N1" "training"
"333" "TCGA-MN-A4N4" "training"
"334" "TCGA-MN-A4N5" "training"
"335" "TCGA-MP-A4SV" "training"
"336" "TCGA-MP-A4T4" "training"
"337" "TCGA-MP-A4T6" "training"
"338" "TCGA-MP-A4T7" "training"
"339" "TCGA-MP-A4T9" "training"
"340" "TCGA-MP-A4TA" "training"
"341" "TCGA-MP-A4TC" "training"
"342" "TCGA-MP-A4TD" "training"
"343" "TCGA-MP-A4TF" "training"
"344" "TCGA-MP-A4TJ" "training"
"345" "TCGA-MP-A4TK" "training"
"346" "TCGA-MP-A5C7" "training"
"347" "TCGA-NJ-A4YF" "training"
"348" "TCGA-NJ-A4YI" "training"
"349" "TCGA-NJ-A4YP" "training"
"350" "TCGA-NJ-A4YQ" "training"
"351" "TCGA-NJ-A55A" "training"
"352" "TCGA-NJ-A55O" "training"
"353" "TCGA-NJ-A55R" "training"
"354" "TCGA-NJ-A7XG" "training"
"355" "TCGA-S2-AA1A" "training"
"356" "GSM959318" "training"
"357" "GSM959328" "training"
"358" "GSM959330" "training"
"359" "GSM959334" "training"
"360" "GSM959336" "training"
"361" "GSM959339" "training"
"362" "GSM959344" "training"
"363" "GSM959345" "training"
"364" "GSM959347" "training"
"365" "GSM959348" "training"
"366" "GSM959351" "training"
"367" "GSM959354" "training"
"368" "GSM959355" "training"
"369" "GSM959356" "training"
"370" "GSM959362" "training"
"371" "GSM959364" "training"
"372" "GSM959365" "training"
"373" "GSM959367" "training"
"374" "GSM959368" "training"
"375" "GSM959373" "training"
"376" "GSM959375" "training"
"377" "GSM959377" "training"
"378" "GSM959380" "training"
"379" "GSM959385" "training"
"380" "GSM959386" "training"
"381" "GSM959388" "training"
"382" "GSM959389" "training"
"383" "GSM959390" "training"
"384" "GSM959392" "training"
"385" "GSM959393" "training"
"386" "GSM959394" "training"
"387" "GSM959396" "training"
"388" "GSM959397" "training"
"389" "GSM959398" "training"
"390" "GSM959399" "training"
"391" "GSM959400" "training"
"392" "GSM959401" "training"
"393" "GSM959408" "training"
"394" "GSM959409" "training"
"395" "GSM959413" "training"
"396" "GSM959414" "training"
"397" "GSM959416" "training"
"398" "GSM959419" "training"
"399" "GSM959420" "training"
"400" "GSM959422" "training"
"401" "GSM959424" "training"
"402" "GSM959427" "training"
"403" "GSM959428" "training"
"404" "GSM959429" "training"
"405" "GSM959430" "training"
"406" "GSM959433" "training"
"407" "GSM959434" "training"
"408" "GSM959436" "training"
"409" "GSM959437" "training"
"410" "GSM959439" "training"
"411" "GSM959443" "training"
"412" "GSM959444" "training"
"413" "GSM959445" "training"
"414" "GSM959446" "training"
"415" "GSM959447" "training"
"416" "GSM959448" "training"
"417" "GSM959449" "training"
"418" "GSM959452" "training"
"419" "GSM959453" "training"
"420" "GSM959454" "training"
"421" "GSM959455" "training"
"422" "GSM959465" "training"
"423" "GSM959466" "training"
"424" "GSM959468" "training"
"425" "GSM959472" "training"
"426" "GSM959478" "training"
"427" "GSM959490" "training"
"428" "GSM959493" "training"
"429" "GSM959497" "training"
"430" "GSM959500" "training"
"431" "GSM959503" "training"
"432" "GSM959508" "training"
"433" "GSM959511" "training"
"434" "GSM959514" "training"
"435" "GSM959520" "training"
"436" "GSM959522" "training"
"437" "GSM959528" "training"
"438" "GSM959534" "training"
"439" "GSM959537" "training"
"440" "GSM959545" "training"
"441" "GSM959546" "training"
"442" "GSM959550" "training"
"443" "GSM959552" "training"
"444" "GSM959553" "training"
"445" "GSM959555" "training"
"446" "GSM959557" "training"
"447" "GSM959560" "training"
"448" "GSM959562" "training"
"449" "GSM959567" "training"
"450" "GSM959568" "training"
"451" "GSM959569" "training"
"452" "GSM959574" "training"
"453" "GSM959579" "training"
"454" "GSM959585" "training"
"455" "GSM959635" "training"
"456" "GSM959637" "training"
"457" "GSM959642" "training"
"458" "GSM959644" "training"
"459" "GSM959647" "training"
"460" "GSM959669" "training"
"461" "GSM959678" "training"
"462" "GSM959687" "training"
"463" "GSM959688" "training"
"464" "GSM959690" "training"
"465" "GSM959695" "training"
"466" "GSM959696" "training"
"467" "GSM959697" "training"
"468" "GSM959698" "training"
"469" "GSM959699" "training"
"470" "GSM959715" "training"
"471" "GSM959718" "training"
"472" "GSM959723" "training"
"473" "GSM959724" "training"
"474" "GSM959732" "training"
"475" "GSM959840" "training"
"476" "GSM959843" "training"
"477" "GSM959849" "training"
"478" "GSM959850" "training"
"479" "GSM959851" "training"
"480" "GSM959856" "training"
"481" "TCGA-05-4425" "testing"
"482" "TCGA-05-4427" "testing"
"483" "TCGA-05-5425" "testing"
"484" "TCGA-44-6146" "testing"
"485" "TCGA-44-6776" "testing"
"486" "TCGA-44-6777" "testing"
"487" "TCGA-44-7661" "testing"
"488" "TCGA-44-7662" "testing"
"489" "TCGA-44-7672" "testing"
"490" "TCGA-44-8119" "testing"
"491" "TCGA-44-8120" "testing"
"492" "TCGA-49-4488" "testing"
"493" "TCGA-49-4514" "testing"
"494" "TCGA-49-6743" "testing"
"495" "TCGA-49-AAR4" "testing"
"496" "TCGA-49-AARO" "testing"
"497" "TCGA-49-AARQ" "testing"
"498" "TCGA-49-AARR" "testing"
"499" "TCGA-50-5942" "testing"
"500" "TCGA-50-8457" "testing"
"501" "TCGA-50-8459" "testing"
"502" "TCGA-55-5899" "testing"
"503" "TCGA-55-6642" "testing"
"504" "TCGA-55-6975" "testing"
"505" "TCGA-55-6979" "testing"
"506" "TCGA-55-6982" "testing"
"507" "TCGA-55-6984" "testing"
"508" "TCGA-55-7724" "testing"
"509" "TCGA-55-7903" "testing"
"510" "TCGA-55-7914" "testing"
"511" "TCGA-55-7995" "testing"
"512" "TCGA-55-8089" "testing"
"513" "TCGA-55-8091" "testing"
"514" "TCGA-55-8205" "testing"
"515" "TCGA-55-8206" "testing"
"516" "TCGA-55-8207" "testing"
"517" "TCGA-55-8208" "testing"
"518" "TCGA-55-8299" "testing"
"519" "TCGA-55-8506" "testing"
"520" "TCGA-55-8620" "testing"
"521" "TCGA-55-A491" "testing"
"522" "TCGA-62-A472" "testing"
"523" "TCGA-64-1679" "testing"
"524" "TCGA-64-5774" "testing"
"525" "TCGA-64-5779" "testing"
"526" "TCGA-67-6217" "testing"
"527" "TCGA-69-7765" "testing"
"528" "TCGA-69-7974" "testing"
"529" "TCGA-69-7979" "testing"
"530" "TCGA-71-6725" "testing"
"531" "TCGA-71-8520" "testing"
"532" "TCGA-73-4658" "testing"
"533" "TCGA-73-7498" "testing"
"534" "TCGA-75-6214" "testing"
"535" "TCGA-78-7149" "testing"
"536" "TCGA-78-7150" "testing"
"537" "TCGA-78-7166" "testing"
"538" "TCGA-78-7539" "testing"
"539" "TCGA-78-7540" "testing"
"540" "TCGA-86-7955" "testing"
"541" "TCGA-86-8056" "testing"
"542" "TCGA-86-8074" "testing"
"543" "TCGA-86-8279" "testing"
"544" "TCGA-86-8585" "testing"
"545" "TCGA-86-A456" "testing"
"546" "TCGA-91-6829" "testing"
"547" "TCGA-91-6830" "testing"
"548" "TCGA-91-6831" "testing"
"549" "TCGA-91-8497" "testing"
"550" "TCGA-93-7348" "testing"
"551" "TCGA-93-8067" "testing"
"552" "TCGA-95-7567" "testing"
"553" "TCGA-95-7947" "testing"
"554" "TCGA-97-7938" "testing"
"555" "TCGA-97-7941" "testing"
"556" "TCGA-97-8174" "testing"
"557" "TCGA-97-8176" "testing"
"558" "TCGA-97-A4M5" "testing"
"559" "TCGA-99-8025" "testing"
"560" "TCGA-L4-A4E6" "testing"
"561" "TCGA-L9-A5IP" "testing"
"562" "TCGA-L9-A743" "testing"
"563" "TCGA-MP-A4SW" "testing"
"564" "TCGA-MP-A4SY" "testing"
"565" "TCGA-MP-A4T2" "testing"
"566" "TCGA-MP-A4T8" "testing"
"567" "TCGA-MP-A4TE" "testing"
"568" "TCGA-MP-A4TH" "testing"
"569" "TCGA-MP-A4TI" "testing"
"570" "TCGA-NJ-A4YG" "testing"
"571" "TCGA-O1-A52J" "testing"
"572" "GSM959332" "testing"
"573" "GSM959346" "testing"
"574" "GSM959350" "testing"
"575" "GSM959360" "testing"
"576" "GSM959366" "testing"
"577" "GSM959369" "testing"
"578" "GSM959371" "testing"
"579" "GSM959376" "testing"
"580" "GSM959395" "testing"
"581" "GSM959410" "testing"
"582" "GSM959415" "testing"
"583" "GSM959425" "testing"
"584" "GSM959426" "testing"
"585" "GSM959432" "testing"
"586" "GSM959451" "testing"
"587" "GSM959460" "testing"
"588" "GSM959461" "testing"
"589" "GSM959498" "testing"
"590" "GSM959523" "testing"
"591" "GSM959524" "testing"
"592" "GSM959525" "testing"
"593" "GSM959538" "testing"
"594" "GSM959541" "testing"
"595" "GSM959547" "testing"
"596" "GSM959561" "testing"
"597" "GSM959564" "testing"
"598" "GSM959679" "testing"
"599" "GSM959707" "testing"
"600" "GSM959725" "testing"
"601" "GSM959820" "testing"
